tip_PlantButton "Semear a semente seleccionada" 


tutorial_gate1 "A porta esta aberta a imortalidade. Cada jardineiro que passe no portao ira se tornar imortal."

tutorial_gate2 "Quando o seu jardineiro entrar no portao, ele fecha-se, e nenhum outro jardineiro podera passar atraves dele."

tutorial_gate3 "Se voce quiser levar algum jardineiros com voce, voce tera que leva-los atraves do portao sem passar o portao voce mesmo." 

tutorial_gate4 "Voce pode usar o botao 'Dirigir' para fazer isso. Mas so os jardineiros que o apreciam vao seguir-lo."

tutorial_gate5 "Quanto mais jardineiros voce salvar, a sua maior recompensa."


tutorial_immortal1 "O portao de imortalidade esta agora fechado, e os jardineiros que voce escolheu foram eternizados."

tutorial_immortal2 "Voce recebeu sua recompensa, mas talvez nao a tenha encontrado ainda. A recompensa e algo que voce pode levar com voce fora do jogo."

tutorial_immortal3 "Saia do jogo e, em seguida, dar uma olhada ao redor para achar sua recompensa. Ou, se voce na gosta de procurar, clique no botao Continuar deste tutorial para uma dica." 


tutorial_immortal4 "Tem certeza de que quer uma dica?" 


tutorial_immortal5 "Olhe por um ficheiro PNG imortal em sua pasta Cultivation. Voce deve ser capaz de ve-lo com um navegador web."

