tip_PlantButton   "Planter la graine selectionnee"
tutorial_death6a   "Malheureusement,vous n'avez pas de descendance que vous pouvez controler, donc la partie est terminee. Cliquez sur le bouton "Redemarrer" pour commencer une nouvelle partie."

tutorial_death6b   "Vous venez de prendre le controle de votre descendance."



tutorial_gate1   "Le portail vers l'immortalite est maintenant ouvert. Chaque jardinier qui passera ce portail deviendra immortel."

tutorial_gate2   "Quand votre jardinier entrera dans le portail, celui-ci se refermera, et aucun autre jardinier ne pourra passer a travers."

tutorial_gate3   "Si vous souhaitez emmener des jardiniers avec vous, vous devrez les conduire a travers le portail sans passer le portail vous-meme."

tutorial_gate4   "Vous pouvez utiliser le bouton 'Conduire' pour cela. Neanmoins seuls les jardiniers qui vous apprecient vous suivront."

tutorial_gate5   "Plus vous sauvez de jardiniers, plus grande sera votre recompense."


tutorial_immortal1  "La porte vers l'immortalite est maintenant refermee, et les jardiniers que vous avez choisis sont maintenant immortels."

tutorial_immortal2  "Vous avez recu une recompense, mais vous ne l'avez peut etre pas encore decouverte. Cette recompense est quelque chose que vous pouvez prendre avec vous en dehors du jeu."

tutorial_immortal3  "Quittez le jeu et jetez un oeil aux alentours pour trouver votre recompense.Si vous donnez votre langue au chat, cliquez sur le bouton 'Continuer' pour avoir un indice..."


tutorial_immortal4  "Vous etes sur de vouloir un indice ?"


tutorial_immortal5  "Examinez le fichier PNG immortel dans votre dossier Cultivation. Vous devriez pouvoir le visualiser avec un navigateur web."











